Original,Changes,,,,,,,,,,,,,,,,,,,,,,,
,,6,273,,16,2163,,26,5853,,,,,,,,,,,,,,,
,,7,381,,17,2451,,27,6321,,,,,,,,,,,,,,,
,,8,507,,18,2757,,28,6807,,,,,,,,,,,,,,,
,,9,651,,19,3081,,29,7311,,,,,,,,,,,,,,,
,,10,813,,20,3423,,30,...,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
This is the determining factor of the order of your planets .,,,,,,,,,,,,,,,,,,,,,,,,
The first level of Population will also give you +1 food but subsequent levels of population attained will not affect food output.,"not true, you must build 1HF to start generating food",,,,,,,,,,,,,,,,,,,,,,,
Your population counts toward your score.,k,,,,,,,,,,,,,,,,,,,,,,,
"Higher population also helps with defence in the early game, as a player must spend 60 PP per level on transports to conquer your planet.",k,,,,,,,,,,,,,,,,,,,,,,,
A planet with a population of 10 or more gives 1% bonus to your Trade Agreement partners.,k,,,,,,,,,,,,,,,,,,,,,,,
Player Level,,,,,,,,,,,,,,,,,,,,,,,,
Every successful battle gives experience towards your player level. The amount depends on the Combat Value of the Fleet you killed.,k,,,,,,,,,,,,,,,,,,,,,,,
Experience,,,,,,,,,,,,,,,,,,,,,,,,
"If you only have a Starbase or less than 2 combat ships remaining after the fight, you only get 25% of the values shown in the table.",you must have at least 1SB and 1 ship to get full XP,,,,,,,,,,,,,,,,,,,,,,,
Ship Type,Exp gained,"this is not true anymore, XP gained varies by wining chance",,,,,,,,,,,,,,,,,,,,,,
Transport,0,,,,,,,,,,,,,,,,,,,,,,,
Colony Ship,0,,,,,,,,,,,,,,,,,,,,,,,
Destroyer,3,,,,,,,,,,,,,,,,,,,,,,,
Cruiser,24,,,,,,,,,,,,,,,,,,,,,,,
Battleship,60,,,,,,,,,,,,,,,,,,,,,,,
Starbase,Combat Value,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,,,,,
A player’s level is displayed in whole numbers (Actual Level) and a percentage (% to next level).,k,,,,,,,,,,,,,,,,,,,,,,,
"Example: Player level 9 – 62% would mean the player is 62% of the way to player level 10. Be careful, the formula is not linear, but exponential. You have actually less experience points (XP) than the XP for PL9 + 62% of the XP for PL10. You can find your real number of experience points using a tool, or the following formula :",k,,,,,,,,,,,,,,,,,,,,,,,
"XP = 5 x (pl)^2,7 - 5 x (pl-1)^2,7; with a decimal value for PL (9.62 in the example)",? cant confirm,,,,,,,,,,,,,,,,,,,,,,,
The PL value shown in the profile is always rounded down. (1.999 is shown as 1-99%).,k,,,,,,,,,,,,,,,,,,,,,,,
"Player level is also used to calculate your score, where each of your Player Levels is one sum part of the ranking score.",k,,,,,,,,,,,,,,,,,,,,,,,
Growth,,,,,,,,,,,,,,,,,,,,,,,,
"Your Player Level increases each day by a specific value based on your Race. This percentage increase is not the same as the Player level shown in the player profile, this is a daily increase based on the player’s current player level.",k,,,,,,,,,,,,,,,,,,,,,,,
Example 1: Player Level 20 - 0%,,Example 2: Player level 10 – 0%,,,,,,,,,,,,,,,,,,,,,,
Day 1 (20*1.012) = 20.24,,Day 1 (10*1.012) = 10.12,,,,,,,,,,,,,,,,,,,,,,
Day 2 (20.24*1.012) = 20.48288,,Day 2 (10.12*1.012) = 10.24144,,,,,,,,,,,,,,,,,,,,,,
Day 3 (20.48288*1.012) = 20.72867456,,Day 3 (10.24144*1.012) = 10.36433728,,,,,,,,,,,,,,,,,,,,,,
Day 4 (20.72867456*1.012) = 20.97741865472,,Day 4 (10.36433728 *1.012) = 10.48870932736,,,,,,,,,,,,,,,,,,,,,,
- until -,,"- and so on, until -",,,,,,,,,,,,,,,,,,,,,,
Day 5 = 21.22914767857664,,Day 8 = 11.00130233538486636445696,,,,,,,,,,,,,,,,,,,,,,
"It is obvious from these examples, that higher player levels gain more experience points per day.",,,,,,,,,,,,,,,,,,,,,,,,
Level Table,,,,,,,,,,,,,,,,,,,,,,,,
"One Supply Unit (SU) is awarded for each new level gained, which you can spend on buildings in the Planets Screen or sell in the Trade Screen. You may also store SUs up to a maximum equal to your player level (so at Player Level 0 you cannot hold any SUs, at Player Level 1 you can hold only 1 SU, at Player Level 7 you can hold up to 7 SUs in total, etc).",k,,,,,,,,,,,,,,,,,,,,,,,
Player Level,Exp needed to gain this Level,Cumulative Exp from Level 0,,,,,,,,,,,,,,,,,,,,,,
1,5,5,,,,,,,,,,,,,,,,,,,,,,
2,27,32,,,,,,,,,,,,,,,,,,,,,,
3,65,97,,,,,,,,,,,,,,,,,,,,,,
4,114,211,,,,,,,,,,,,,,,,,,,,,,
5,175,386,,,,,,,,,,,,,,,,,,,,,,
6,245,631,,,,,,,,,,,,,,,,,,,,,,
7,326,957,,,,,,,,,,,,,,,,,,,,,,
8,415,1372,,,,,,,,,,,,,,,,,,,,,,
9,513,1885,,,,,,,,,,,,,,,,,,,,,,
10,621,2506,,,,,,,,,,,,,,,,,,,,,,
11,735,3241,,,,,,,,,,,,,,,,,,,,,,
12,859,4100,,,,,,,,,,,,,,,,,,,,,,
13,989,5089,,,,,,,,,,,,,,,,,,,,,,
14,1127,6216,,,,,,,,,,,,,,,,,,,,,,
15,1273,7489,,,,,,,,,,,,,,,,,,,,,,
16,1425,8914,,,,,,,,,,,,,,,,,,,,,,
17,1586,10500,,,,,,,,,,,,,,,,,,,,,,
18,1752,12252,,,,,,,,,,,,,,,,,,,,,,
19,1926,14178,,,,,,,,,,,,,,,,,,,,,,
20,2106,16284,,,,,,,,,,,,,,,,,,,,,,
21,2292,18576,,,,,,,,,,,,,,,,,,,,,,
22,2487,21063,,,,,,,,,,,,,,,,,,,,,,
23,2685,23748,,,,,,,,,,,,,,,,,,,,,,
24,2892,26640,,,,,,,,,,,,,,,,,,,,,,
25,3105,29745,,,,,,,,,,,,,,,,,,,,,,
26,3322,33067,,,,,,,,,,,,,,,,,,,,,,
27,3547,36614,,,,,,,,,,,,,,,,,,,,,,
28,3778,40392,,,,,,,,,,,,,,,,,,,,,,
29,4014,44406,,,,,,,,,,,,,,,,,,,,,,
30,4257,48663,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"1. A player's level is visible in his profile by accessing the Map Screen and selecting the system then the player's name. Alternatively, clicking on an opponent's name in a battle alert on your News Screen will display it for you. Also if you have a sieged planet, clicking on the red warning bar at the bottom of the Planets Screen will take you to his profile.",k,,,,,,,,,,,,,,,,,,,,,,,
"2. In battle, if a player uses a fleet of all three war ship types (at least one Destroyer + one Cruiser + one Battleship) he will gain a 1% bonus to his attack and defence for each player level he has above his opponent.",k,,,,,,,,,,,,,,,,,,,,,,,
Development Tables,,,,,,,,,,,,,,,,,,,,,,,,
All development tables,,,,,,,,,,,,,,,,,,,,,,,,
"On this page you will find all relevant development tables. Starting from Player level, Population, Buildings, Science, Culture and many more.",k,,,,,,,,,,,,,,,,,,,,,,,
Development,,,,,,,,,,,,,,,,,,,,,,,,
These show the non-cumulative points needed to reach that level from the previous one. See notes on how to use them.,,,,,,,,,,,,,,,,,,,,,,,,
Player Level,,,,,Population,,,,,Building/Starbase,,,,,Science,,,,,Culture,,,,
Lvl,Exp,,Lvl,Exp,Lvl,Growth,,Lvl,Growth,Lvl,PP,,Lvl,PP,Lvl,SP,,Lvl,SP,Lvl,Points,,Lvl,Points
1,5,,16,1425,1,0,,16,2163,1,5,,16,2189,1,29,,16,3415,1,0,,16,24071
2,27,,17,1586,2,21,,17,2451,2,8,,17,3284,2,74,,17,3934,2,318,,17,27768
3,65,,18,1752,3,57,,18,2757,3,11,,18,4926,3,138,,18,4505,3,765,,18,31835
4,114,,19,1926,4,111,,19,3081,4,17,,19,7389,4,221,,19,5131,4,1315,,19,36298
5,175,,20,2106,5,183,,20,3423,5,25,,20,11084,5,325,,20,5816,5,2084,,20,41179
6,245,,21,2292,6,273,,21,3783,6,38,,21,16626,6,451,,21,6563,6,2985,,21,46507
7,326,,22,2487,7,381,,22,4161,7,57,,22,24939,7,603,,22,7377,7,4059,,22,52310
8,415,,23,2685,8,507,,23,4557,8,85,,23,37409,8,780,,23,8261,8,5320,,23,58616
9,513,,24,2892,9,651,,24,4971,9,128,,24,56114,9,986,,24,9221,9,6785,,24,65456
10,621,,25,3105,10,813,,25,5403,10,192,,25,84171,10,1223,,25,10260,10,8467,,25,72863
11,735,,26,3322,11,993,,26,5853,11,288,,26,126256,11,1492,,26,11382,11,10382,,26,
12,859,,27,3547,12,1191,,27,6321,12,432,,27,189384,12,1796,,27,12595,12,12547,,27,
13,989,,28,3778,13,1407,,28,6807,13,649,,28,284076,13,2138,,28,13901,13,14979,,28,
14,1127,,29,4014,14,1641,,29,7311,14,973,,29,426113,14,2520,,29,15400,14,17697,,29,
15,1273,,30,4257,15,1893,,30,,15,1460,,30,639170,15,2945,,30,16715,15,20721,,30,
Combat,,,,,,,,,,,,,,,,,,,,,,,,
"These show defence values of starbases; the cost of building warships at each Economy level; the time needed to make a flight at each Energy level, shown as a percentage of the time needed for the same flight at Energy level 0. See notes below.",,,,,,,,,,,,,,,,,,,,,,,,
Starbase (defence values),,,,,,,,Fleet (cost per ship),,,,Energy (level 0 = 100%),,,,,,,,,,,,
Lvl,Defence,,Lvl,Defence,,Lvl,Defence,Eco.,Destroyer,Cruiser,Battleship,Lvl,Time,,Lvl,Time,,Lvl,Time,,,,,
1,2,,11,342,,21,19948,0,30,240,600,1,91.00%,,11,35.44%,,21,13.80%,,,,,
2,5,,12,515,,22,29923,4,29,232,580,2,82.81%,,12,32.23%,,22,12.56%,,,,,
3,10,,13,774,,23,44887,7,28,224,560,3,75.36%,,13,29.35%,,23,11.43%,,,,,
4,16,,14,1164,,24,67332,10,27,216,540,4,68.57%,,14,26.70%,,24,10.40%,,,,,
5,26,,15,1748,,25,101001,14,26,208,520,5,62.40%,,15,24.30%,,25,9.46%,,,,,
6,42,,16,2623,,26,151503,17,25,200,500,6,56.79%,,16,22.11%,,26,8.61%,,,,,
7,64,,17,3937,,27,227257,20,24,192,480,7,51.68%,,17,20.12%,,27,7.84%,,,,,
8,99,,18,5908,,28,340887,24,23,184,460,8,47.03%,,18,18.31%,,28,7.13%,,,,,
9,150,,19,8863,,29,511332,27,22,176,440,9,42.79%,,19,16.66%,,29,6.49%,,,,,
10,227,,20,13297,,30,767000,30,21,168,420,10,38.94%,,20,15.16%,,30,5.91%,,,,,
Artifacts,,,,,,,,,,,,,,,,,,,,,,,,
Artifacts become available as a new Player Level is reached; bonuses affect different areas of development. See notes below.,,,,,,,,,,,,,,,,,,,,,,,,
Artifacts (new artifacts are only added up to Player Level 21),,,,,,,,,,,,,,,,,,,,,,,,
Player,Artifact,,Player,Artifact,,Player,Artifact,,Bonus Awarded,,,,,,,,,,,,,,,
Level,(10% bonus),,Level,(20% bonus),,Level,(30% bonus),,,,,,,,,,,,,,,,,
1,Basalt Monolith 1,,8,Basalt Monolith 2,,15,Basalt Monolith 3,,Culture,,,,,,,,,,,,,,,
2,Astrolabe 1,,9,Astrolabe 2,,16,Astrolabe 3,,Science,,,,,,,,,,,,,,,
3,Celestial Prism 1,,10,Celestial Prism 2,,17,Celestial Prism 3,,Population,,,,,,,,,,,,,,,
4,Crystal Rod 1,,11,Crystal Rod 2,,18,Crystal Rod 3,,"Culture, Population",,,,,,,,,,,,,,,
5,Charcoal Diamond 1,,12,Charcoal Diamond 2,,19,Charcoal Diamond 3,,Production,,,,,,,,,,,,,,,
6,Memory Jar 1,,13,Memory Jar 2,,20,Memory Jar 3,,"Science, Production",,,,,,,,,,,,,,,
7,Heart of Rana 1,,14,Heart of Rana 2,,21,Heart of Rana 3,,"Culture, Population,",,,,,,,,,,,,,,,
,,,,,,,,,"Science, Production",,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
The values shown in the tables above and those displayed in the game screens are rounded. In the game database they are more precise. This means there may be a small difference between what is given in these tables and the actual amount used or required in the game.,k,,,,,,,,,,,,,,,,,,,,,,,
"Development - the points shown against each level, are those needed to achieve that level from the level immediately preceding it, and are non-cumulative. Example: in Player Level, to reach level 1 from level 0 requires 5 points, to reach level 2 from level 1 needs 27 points, etc. So to develop from level 0 to level 2 would be 5 + 27 = 32 points.",k,,,,,,,,,,,,,,,,,,,,,,,
"Combat (Energy) - the reduction at each level is calculated as 9% of the value for the previous level, and expressed as a percentage of the time needed to make the same flight at energy level 0. Example: a flight at energy level 1 requires 91% of the time at level 0 (100% - 9%), at level 2 it requires 82.81% of the time at level 0 (91% - 9%), etc.",k,,,,,,,,,,,,,,,,,,,,,,,
"Artifacts - each new Player Level adds the next artifact to a cumulative list, and they can be bought or sold in any combination or quantity. Only one artifact at a time can be activated to give a bonus, and this is selected using the Artifact link at the bottom of the Trade Screen.",k,,,,,,,,,,,,,,,,,,,,,,,
Colony Ship,,,,,,,,,,,,,,,,,,,,,,,,
Ship for colonizing new worlds,k,,,,,,,,,,,,,,,,,,,,,,,
The Colony Ship is the basis for expanding empires. Ships of this type contain everything for colonizing new worlds.,k,,,,,,,,,,,,,,,,,,,,,,,
"A new world is shown in the Map Screen as a Free Planet, and has no owner until a Colony Ship arrives from a player with a high enough Culture level to take control over it.",k,,,,,,,,,,,,,,,,,,,,,,,
"Colony Ships also have a second function - to transport Production Points between planets you already own. To do this, launch a Colony Ship to the target planet (or the free planet to be conquered), when there are 2 Colony Ships present (minimum), they will disband to give 15 PP each.","need 3 colos, 1 for colonizing, 2 for disband",,,,,,,,,,,,,,,,,,,,,,,
"Colony ships only disband if there is at least 1 colony ship in the incoming Fleet. So if you already have 1 colony ship on a planet then send 1 Destroyer and 1 colony ship to the planet, the colony ships will be disbanded, but if you build 2 colony ships on a planet then send a fleet with no colony ships, the colony ships on the planet will not disband.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
You can only have a maximum of 5 fleets in transit at any given time.,k,,,,,,,,,,,,,,,,,,,,,,,
"All free planets have 0 Population, and 0 buildings present hence when the colony ship arrives the population will be set to 1 by the Colony ship and therefore its original output will be +1pp/hour.",k,,,,,,,,,,,,,,,,,,,,,,,
"Colonizing a ""free planet"" costs 1 Colony Ship",k,,,,,,,,,,,,,,,,,,,,,,,
"When using Colony Ships to transport Production Points to a planet you already own, or to a Free Planet you intend to conquer, only 2 colony ships are required if you already own the planet, but you MUST send a minimum of 3 Colony Ships to the Free Planet to get 30 PP. 1 is used in taking the free planet and then a minimum of 2 more colony ships are needed to attain pp giving 15 pp. Therefore in the above example 30 pp would be deposited on the newly colonised planet)",k,,,,,,,,,,,,,,,,,,,,,,,
You may send as many Colony Ships as you like but when they land on the planet they will immediately deconstruct in pairs (ie. if 1 colony ship arrives on a planet and another arrives later they will deconstruct on the second ships arrival) or the multiples that they were sent in (ie. if you send 3 to a planet under your control you will receive 45 pps there).,k,,,,,,,,,,,,,,,,,,,,,,,
Colony Ships have a Combat Value of 0. But they take part in active combat. If they are sent with a fleet of combat ships they will experience battle damage and a few may be lost along with other ships. It is a commanders decision whether to send them with a main fleet or take another fleet launch spot and send the colony ships later,k,,,,,,,,,,,,,,,,,,,,,,,
Transport,,,,,,,,,,,,,,,,,,,,,,,,
Ship for invading other planets,k,,,,,,,,,,,,,,,,,,,,,,,
"An essential ship for all galactic domination types, the Transport will allow you planetary invasion.",k,,,,,,,,,,,,,,,,,,,,,,,
"Trained to kill the Population while saving the Buildings, each Transport decreases the Population Level by one and consequently burns all excess food (so to grow another level in population, the planet's owner will need to rebuild his/her food reserves with Hydroponic Farms).","not true anymore, popkilling kills buildings by the amount ot used Transport price, look at next cell",,,,,,,,,,,,,,,,,,,,,,,
However all buildings will receive some damage in an assault. However all buildings will receive some damage in an assault. The damage a building can receive ranges from 48 - 72 spent production points per killed Population.,k,,,,,,,,,,,,,,,,,,,,,,,
"If the population is reduced to zero, the planet will be conquered and given to the aggressor, provided they have a high enough level of Culture. If the culture level is not high enough, the population will be returned to 1.",k,,,,,,,,,,,,,,,,,,,,,,,
"Each Transport can only be used once. Therefore, to conquer someone else's planet, you will need a minimum of 1 Transport per Population Level.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
1. A maximum of 5 fleets can be in transit at any time.,k,,,,,,,,,,,,,,,,,,,,,,,
"2. If a target planet has no defending fleet or Starbase, even unescorted Transports can take it over.",k,,,,,,,,,,,,,,,,,,,,,,,
"3. Transports in a fleet get damaged, so you should send them in a second wave.",k,,,,,,,,,,,,,,,,,,,,,,,
"4. Transports on a planet not under your control will try to capture it again, when any other Transport arrives.",? cant confirm,,,,,,,,,,,,,,,,,,,,,,,
Battleship,,,,,,,,,,,,,,,,,,,,,,,,
Fullsized Attack Command Ship,k,,,,,,,,,,,,,,,,,,,,,,,
An effective all round feared flag ship for many fleets. Battleships have more guns than armor but it's sheer size gives the overall ship a good chance to survive.,k,,,,,,,,,,,,,,,,,,,,,,,
The cost of a Battleship is equal to 20x that of a Destroyer and its overall Combat Value (CV) is also equal to 20x that of a Destroyer.,k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
A Physics level of minimum 15 is required before you are able to build Battleships.,k,,,,,,,,,,,,,,,,,,,,,,,
You can only have a maximum of 5 fleets in transit at any given time.,k,,,,,,,,,,,,,,,,,,,,,,,
You can calculate your chances to win with the Battle Calculator,k,,,,,,,,,,,,,,,,,,,,,,,
Starbase,,,,,,,,,,,,,,,,,,,,,,,,
Protecting your planet,,,,,,,,,,,,,,,,,,,,,,,,
"Starbases (SB) are the backbone of a planets defense system, providing a high level of defense at a low cost, and have the advantage of being doubled when present in Combat Value Battle Predictions. In the best case scenario the starbase's maximum damage is twice its listed Defense Value.",k,,,,,,,,,,,,,,,,,,,,,,,
"Starbases are a static defence and provide a deterrent to incoming fleets as others can see the Starbase level for each planet. However, the higher the star base level, the more attention it may draw, as they are worth a lot of experience points.",k,,,,,,,,,,,,,,,,,,,,,,,
"Experienced players avoid building starbases unless necessary, relying on mobile fleet where possible.",k,,,,,,,,,,,,,,,,,,,,,,,
The Production Point to Defense Value ratio is 2.5:1 (Sometimes doubled in Combat Value Battle Predictions).,"? I dont know this, its different now",,,,,,,,,,,,,,,,,,,,,,,
Starbase Defense Values,,,,,,,,,,,,,,,,,,,,,,,,
Level,Defence,Level,Defence,Level,Defence,,,,,,,,,,,,,,,,,,,
1,2,11,342,21,19948,,,,,,,,,,,,,,,,,,,
2,5,12,515,22,29923,,,,,,,,,,,,,,,,,,,
3,10,13,774,23,44887,,,,,,,,,,,,,,,,,,,
4,16,14,1164,24,67332,,,,,,,,,,,,,,,,,,,
5,26,15,1748,25,101001,,,,,,,,,,,,,,,,,,,
6,42,16,2623,26,151503,,,,,,,,,,,,,,,,,,,
7,64,17,3937,27,227257,,,,,,,,,,,,,,,,,,,
8,99,18,5908,28,340887,,,,,,,,,,,,,,,,,,,
9,150,19,8863,29,511332,,,,,,,,,,,,,,,,,,,
10,227,20,13297,30,767000,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"Once built, a Starbase will automatically repair/increase itself (this happens even on incoming fleets and is unaffected by the production race modifier). The rate is its (level/5)pp/h (ie: sb 1 => 0.2 pp/h sb 5 => 1.0 pp/h sb 9 => 1.8 pp/h)",k,,,,,,,,,,,,,,,,,,,,,,,
Ship Types Overview,,,,,,,,,,,,,,,,,,,,,,,,
Overview of Ship Types,,,,,,,,,,,,,,,,,,,,,,,,
"A fleet of ships can be used to attack or conquer an opponent’s planet, defend your own, or to colonize new worlds.",k,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Each fleet has a Combat Value (CV) based on it’s Combined attack and defense properties: A fleet consisting of 10 Destroyers and 1 Battleship would have a CV equal to 90. A fleet consisting of 10 Cruisers would have a CV equal to 240. Refer to each ship's properties for a more detailed description.,k,,,,,,,,,,,,,,,,,,,,,,,
Colony Ships and Transports have a CV equal to Zero as they have no attack / defense properties.,"k, but TR and CS have 2DEF",,,,,,,,,,,,,,,,,,,,,,,
A fleet can be made up of five types of ships.,k,,,,,,,,,,,,,,,,,,,,,,,
There are: ,,,,,,,,,,,,,,,,,,,,,,,,
Colony Ship ,,,,,,,,,,,,,,,,,,,,,,,,
Transport ,,,,,,,,,,,,,,,,,,,,,,,,
Warships:,,,,,,,,,,,,,,,,,,,,,,,,
Destroyer,,,,,,,,,,,,,,,,,,,,,,,,
Cruiser ,,,,,,,,,,,,,,,,,,,,,,,,
Battleship,,,,,,,,,,,,,,,,,,,,,,,,
Destroyer,,,,,,,,,,,,,,,,,,,,,,,,
Standard Fighting Ship,,,,,,,,,,,,,,,,,,,,,,,,
"Destroyers are the cheapest and smallest class of fighting ship. Building them requires no prerequisite, so they would be your only fighters in your fleet, before cruisers and battleships are available.",k,,,,,,,,,,,,,,,,,,,,,,,
"The destroyer holds a relatively small amount of armor, meaning that it is easily destroyed, however at the same time, its relative amount of weaponry makes this a good ship for maximizing victorious battles.",k,,,,,,,,,,,,,,,,,,,,,,,
Their cost makes them an excellent ship for starting fleets as they are not so much of an investment as some of the bigger ships such as the battleship.,k,,,,,,,,,,,,,,,,,,,,,,,
You can only have a maximum of 5 fleets in transit at any given time. You can calculate your chances to win using the Battle Calculator,k,,,,,,,,,,,,,,,,,,,,,,,
Cruiser,,,,,,,,,,,,,,,,,,,,,,,,
Military Combat Squad Leader and Intel Ship,,,,,,,,,,,,,,,,,,,,,,,,
Better than a Destroyer but not as good as a Battleship. Cruisers are more likely to survive a battle due to their high proportion of defense - this makes them effective at minimizing the overall losses in your fleets (due to CV calculations).,k,,,,,,,,,,,,,,,,,,,,,,,
A Cruiser costs 8x that of a Destroyer and its Combat Value is also equal to 8x that of a Destroyer.,k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
1. A Mathematics level of minimum 15 is required before you are able to build Cruisers.,k,,,,,,,,,,,,,,,,,,,,,,,
2. You can only have a maximum of 5 fleets in transit at any given time.,k,,,,,,,,,,,,,,,,,,,,,,,
3. You can calculate your chances to win with the Battle Calculator,k,,,,,,,,,,,,,,,,,,,,,,,
Battleship,,,,,,,,,,,,,,,,,,,,,,,,
sdl - where's the battleship equivalent?,,,,,,,,,,,,,,,,,,,,,,,,
